Section Distance [km];Depth;Fluorescence;Estimated-Measured Fluorescence
0.52447;1.79870;0.03960;0.00129
0.52447;1.45790;0.03900;0.00139
0.52447;1.28310;0.04140;-0.00126
0.52447;1.04760;0.03920;-10000000000.00000
0.55725;2.72040;0.04310;-0.00099
0.55725;2.34000;0.04180;-0.00015
0.55725;1.92760;0.04110;-0.00005
0.55725;1.79770;0.04120;-0.00034
0.55725;1.72530;0.04330;-0.00255
0.59003;3.52030;0.04600;-0.00300
0.59003;3.66570;0.04180;0.00135
0.59003;3.27140;0.04210;0.00062
0.59003;2.83810;0.04110;0.00112
0.59003;2.65690;0.04140;0.00061
0.59003;2.69750;0.04250;-0.00045
0.62281;6.83640;0.04420;0.00076
0.62281;5.99130;0.04370;0.00030
0.62281;4.94070;0.04450;-0.00054
0.62281;4.07110;0.04340;0.00006
0.62281;3.61570;0.04260;0.00047
0.65559;11.44150;0.05490;-0.00144
0.65559;10.67410;0.05350;-0.00214
0.65559;9.79090;0.04540;0.00211
0.65559;8.79240;0.04860;-0.00047
0.65559;7.65640;0.05000;-0.00186
0.68837;15.38530;0.05760;-0.00352
0.68837;14.88420;0.05340;-0.00048
0.68837;14.28050;0.05080;-0.00046
0.68837;13.57540;0.04710;0.00243
0.68837;12.75070;0.05380;-0.00166
0.68837;11.96140;0.05210;0.00163
0.72115;18.35850;0.05830;-0.00036
0.72115;17.75410;0.06130;-0.00378
0.72115;17.17490;0.05270;0.00394
0.72115;16.50940;0.06040;-0.00491
0.72115;15.98730;0.05040;0.00463
0.75393;21.56100;0.06340;-0.00141
0.75393;21.22560;0.06030;0.00057
0.75393;20.37460;0.06230;0.00002
0.75393;19.58590;0.06450;-0.00465
0.75393;19.14620;0.05580;0.00267
0.75393;18.85340;0.05690;0.00133
0.78671;24.32450;0.06760;-0.00290
0.78671;24.04270;0.06620;-0.00186
0.78671;23.24710;0.06060;0.00262
0.78671;22.26640;0.06650;-0.00361
0.78671;21.62540;0.05970;0.00243
0.78671;21.59290;0.06260;-0.00057
0.81949;26.90420;0.06740;-0.00387
0.81949;26.06720;0.05990;0.00228
0.81949;25.16570;0.06570;-0.00230
0.81949;24.57620;0.05880;0.00585
0.81949;24.42000;0.06510;-0.00027
0.85227;29.59250;0.07180;-0.00349
0.85227;29.00750;0.06580;0.00108
0.85227;28.18510;0.06740;-0.00198
0.85227;27.54860;0.06380;0.00076
0.85227;27.33010;0.06280;0.00141
0.85227;27.22840;0.06400;0.00004
0.88505;32.55390;0.07420;-0.00231
0.88505;32.03690;0.06950;0.00156
0.88505;31.40270;0.07210;-0.00155
0.88505;30.90490;0.06940;0.00100
0.88505;30.37910;0.07250;-0.00255
0.88505;29.95580;0.06690;0.00229
0.91783;35.21830;0.07570;-0.00097
0.91783;34.79380;0.07760;-0.00285
0.91783;34.11040;0.07100;0.00410
0.91783;33.42260;0.08160;-0.00550
0.91783;32.94900;0.07290;0.00112
0.95061;38.21550;0.07830;0.00487
0.95061;37.68360;0.08330;-0.00183
0.95061;36.95090;0.07770;-0.00173
0.95061;36.25070;0.07080;0.00181
0.95061;35.84270;0.07280;0.00127
0.95061;35.48020;0.07490;-0.00026
0.98339;40.69060;0.08270;0.00796
0.98339;40.24620;0.09620;-0.00370
0.98339;39.65750;0.09260;-0.00586
0.98339;38.94260;0.07950;0.00324
0.98339;38.48630;0.07400;0.00851
0.98339;38.30440;0.09690;-0.01399
1.01616;43.76740;0.09340;-0.00082
1.01616;43.35950;0.09250;0.00150
1.01616;42.85520;0.09690;-0.00331
1.01616;42.26270;0.09080;0.00124
1.01616;41.71250;0.09310;-0.00307
1.01616;41.34820;0.08820;0.00103
1.01616;40.97430;0.09250;-0.00353
1.04894;46.60210;0.09580;-0.00117
1.04894;46.23390;0.08870;0.00362
1.04894;45.79050;0.09430;0.00006
1.04894;45.15570;0.09910;-0.00331
1.04894;44.51060;0.09520;-0.00102
1.04894;44.08730;0.09010;0.00144
1.08172;49.49650;0.10490;0.00017
1.08172;49.07470;0.10420;0.00021
1.08172;48.69370;0.10330;0.00061
1.08172;48.19220;0.10710;-0.00479
1.08172;47.56620;0.09730;0.00305
1.08172;46.98980;0.10330;-0.00486
1.11450;52.85620;0.13020;-0.00875
1.11450;52.36330;0.11220;0.00330
1.11450;51.95160;0.11480;-0.00084
1.11450;51.50030;0.11150;0.00130
1.11450;50.87110;0.11170;-0.00167
1.11450;50.15000;0.10810;-0.00154
1.14728;57.07460;0.13360;0.00152
1.14728;56.52870;0.13460;-0.00026
1.14728;55.90880;0.13830;-0.00240
1.14728;55.22920;0.13780;-0.00358
1.14728;54.68770;0.13060;-0.00129
1.14728;54.12820;0.12600;0.00065
1.14728;53.54920;0.12390;0.00107
1.18006;61.51870;0.15570;0.00120
1.18006;60.73010;0.15930;-0.00796
1.18006;59.96790;0.15370;0.00028
1.18006;59.26580;0.15350;-0.00133
1.18006;58.81610;0.14690;0.00219
1.18006;58.19090;0.14830;-0.00358
1.18006;57.56370;0.13910;-0.00102
1.21284;64.44710;0.16390;0.01625
1.21284;64.04490;0.15860;0.02046
1.21284;63.42790;0.16980;-0.00175
1.21284;62.86120;0.16550;0.00179
1.21284;62.30420;0.16700;-0.00519
1.21284;61.96220;0.15510;0.00309
1.24562;66.12710;0.17860;-0.00478
1.24562;66.07320;0.17060;0.00343
1.24562;65.60250;0.16270;0.01120
1.24562;65.04040;0.16520;0.00440
1.24562;64.64280;0.16320;0.01361
1.24562;64.51750;0.16780;0.01145
1.27840;67.18010;0.16890;0.00396
1.27840;67.15310;0.17640;-0.00355
1.27840;66.98810;0.17700;-0.00423
1.27840;66.74230;0.17370;-0.00104
1.27840;66.38380;0.17140;0.00183
1.27840;66.24140;0.17450;-0.00062
1.31118;68.19340;0.17400;0.01227
1.31118;67.96410;0.17770;0.00784
1.31118;68.08180;0.17400;0.01295
1.31118;68.14460;0.25450;-0.06793
1.31118;67.89130;0.17650;0.00769
1.31118;67.46750;0.17280;0.00349
1.34396;69.59170;0.18600;-0.00157
1.34396;69.36320;0.19300;-0.00928
1.34396;68.91840;0.17360;0.00937
1.34396;68.87070;0.17090;0.01199
1.34396;68.84510;0.18450;-0.00165
1.34396;68.69320;0.18070;0.00278
1.37674;70.40440;0.20240;-0.00249
1.37674;70.35230;0.19870;0.00107
1.37674;70.17420;0.19550;0.00096
1.37674;69.79800;0.18820;0.00077
1.37674;69.71270;0.19830;-0.01103
1.40952;71.13760;0.19950;0.00222
1.40952;71.09740;0.20630;-0.00471
1.40952;70.90810;0.20730;-0.00618
1.40952;70.67450;0.20580;-0.00525
1.40952;70.44840;0.21260;-0.01260
1.40952;70.43780;0.19610;0.00387
1.44230;71.38770;0.20620;-0.00392
1.44230;71.24220;0.20910;-0.00723
1.44230;71.08310;0.19450;0.00693
1.44230;71.04720;0.19880;0.00255
1.44230;71.17550;0.19900;0.00268
1.44230;71.17100;0.21100;-0.00933
1.47508;71.55400;0.19840;0.00394
1.47508;71.43300;0.20430;-0.00223
1.47508;71.42300;0.21190;-0.00985
1.47508;71.47750;0.20600;-0.00383
1.47508;71.56870;0.20720;-0.00483
1.50786;72.36550;0.22100;-0.02194
1.50786;72.07000;0.20810;-0.00690
1.50786;71.80840;0.20520;-0.00269
1.50786;71.90820;0.20100;0.00138
1.50786;71.90640;0.21330;-0.01091
1.50786;71.76890;0.20460;-0.00215
1.54064;73.29470;0.20010;-0.00647
1.54064;73.02670;0.20890;-0.01396
1.54064;72.66670;0.20420;-0.00751
1.54064;72.51790;0.19660;0.00112
1.54064;72.61130;0.19790;-0.00086
1.57342;74.25490;0.21500;-0.00805
1.57342;73.88010;0.20690;-0.00484
1.57342;73.61160;0.21130;-0.01428
1.57342;73.53560;0.20900;-0.01341
1.57342;73.57530;0.19810;-0.00176
1.57342;73.44640;0.19290;0.00102
1.60620;74.92060;0.21250;-0.01497
1.60620;74.78010;0.21580;-0.01624
1.60620;74.61750;0.20710;-0.00518
1.60620;74.44850;0.21370;-0.00933
1.60620;74.35690;0.21760;-0.01190
1.63898;76.11800;0.24820;-0.01353
1.63898;75.87710;0.24040;-0.01107
1.63898;75.58430;0.22740;-0.00705
1.63898;75.33090;0.22560;-0.01475
1.63898;75.09130;0.21740;-0.01553
1.67176;77.17820;0.24580;-0.00612
1.67176;76.98200;0.25050;-0.00910
1.67176;76.75830;0.25530;-0.01195
1.67176;76.51010;0.24200;0.00295
1.67176;76.30800;0.24080;-0.00050
1.67176;76.19660;0.25300;-0.01527
1.70453;77.87350;0.26120;-0.01807
1.70453;77.82810;0.25660;-0.01375
1.70453;77.70520;0.24520;-0.00313
1.70453;77.49760;0.25590;-0.01513
1.70453;77.28940;0.24360;-0.00379
1.73731;78.83450;0.27870;-0.02352
1.73731;78.46660;0.26530;-0.01446
1.73731;78.32560;0.25530;-0.00612
