 
Year      Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec Annual
  
2001     77.6   44.6  115.0  257.2   55.0  208.4  121.0   24.6   76.0   35.6   55.0   25.4 1095.4
2002     39.2   50.2   41.6  123.2  123.4  124.2  218.0  127.8  134.4  107.2   44.6    7.4 1141.2
2003     54.0   89.2   44.8   71.2   63.0  102.0   81.6  111.4   39.4   22.0   42.6   29.8  751.0
2004    457.0  120.6  161.6  414.2  206.6   88.8  356.6  202.0  156.4  141.0   24.8  130.6 2460.2
2005    490.2  206.6   87.8   24.6  315.4   68.0   98.6   72.4   56.0   82.2  149.4  128.4 1779.6
2006     72.8  115.2  326.2  189.4  133.8  176.0  149.0  166.0   77.2   61.4   28.8   10.6 1506.4
2007     67.6   54.8  136.2   63.0  189.8  154.0  128.8  166.0   16.2   61.6   40.4   49.2 1127.6
2008     71.2   26.6   90.0  118.4   44.8  100.6  124.6   81.6  153.6   83.2   77.6   57.6 1029.8
2009     33.8   78.2  174.8  210.6  103.6  134.4  103.4   54.8   46.8  278.0  112.2   25.4 1356.0
2010     22.6   90.6   11.2   17.6   72.8   62.0   92.2   92.2   47.2   24.4   21.0   26.6  580.4
2011    104.5   58.6  100.2  299.9  131.8  120.1   90.0  144.7   32.3   82.2  283.9   79.3 1527.5
2012     48.2   71.2  232.2   92.2  179.1   89.8  182.5   54.2  377.6   79.8   88.6  119.6 1615.0
2013    156.1    9.5   67.0   79.9  286.8  237.8  172.9   89.3  167.6   67.2   43.6   70.4 1448.1
2014     86.4  108.1   57.5   26.3  108.6   42.9   42.3   88.4   55.1   42.9   47.9  115.4  821.8
2015     65.5  160.5   56.1   82.8   81.8  133.0   79.0   53.8   20.6   67.4  195.4  123.2 1119.1
2016    409.1   57.2  209.3  129.9   41.1  115.5  224.6   81.8   87.6   64.9   85.6  131.5 1638.1
