 
Year      Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec Annual
 
2001     46.0   43.8   97.2  246.0   35.4  103.2   27.6   34.7   37.4   38.0   47.6   49.4  806.3
2002     36.4   67.6   17.8   57.8   30.4   29.2  130.2   78.5   36.4   53.2   15.0   15.0  567.5
2003     15.8   30.1   26.2   29.7  130.3   80.4   55.7   62.6   25.8   29.0   70.1   50.7  606.4
2004    192.1  125.9   77.3  127.1   62.1   78.7  151.5   99.9   39.1   36.7   62.9    1.2 1054.5
2005      1.8  158.2   27.0    7.2  240.9   63.8   59.1   10.3   41.1  161.7  240.7  131.5 1143.3
2006    206.3  183.9  229.7   74.2  256.2   52.3   27.2   51.4   41.7   35.4   26.0   29.5 1213.8
2007     32.9  153.7  234.7   40.2   48.6   60.6   71.8   53.9   36.1   58.1   23.0   25.6  839.2
2008     47.5   28.3   46.2   15.3   15.0   22.0   47.7   29.5   35.2   46.5   63.1   33.4  429.7
2009     19.8  120.4   68.2  193.3   30.1   38.2   50.1   46.1   13.8  106.9  126.6   18.8  832.3
2010     12.0   82.1   21.6   20.0    8.6    5.3   15.6   39.6    4.8    5.6   35.0   20.2  270.4 
2011     19.0    8.6   35.4   39.0   35.4   10.6   13.2   22.2    5.4   11.4   41.0   23.0  264.2
2012     21.0   57.6  151.0   62.2   62.2   59.4   43.6   33.2   47.4   66.6   61.9   47.5  713.6
2013     25.8   21.0   38.6   81.6  166.0   15.0   69.0   66.6   55.0   21.2   21.6   39.0  620.4
2014     72.4  125.5   86.5   21.7   31.9    5.8    9.5   11.4   21.3   55.1   62.6  130.7  634.4
